REF,status,PaperYear,Title,PaperAuthor,Journal,Animal,Family,Species,ClimaticZone,Climatic ,Habitat,LifeStage,WildType,Development,CO2Treatment,TempTreatment,Stressor ,CO2ppmC,CO2ppmCS.E.,CO2ppmC S.D.,pH scale,pH C,pH C S.E.,pH C S.D.,CO2ppmI,CO2ppmI S.E.,CO2ppmI S.D.,Ph I,Ph I S.E.,Ph I S.D.,TempC,TempC S.E.,TempC S.D.,TempI,TempI S.E.,TempI S.D.,DiffpCO2,DiffT,Other Factor,Metric,TransformedMetric,Metric Type,Unit,Category,Level,ControlMean,ControlMeanTransformed,ControlSE,ControlN,TreatmentMean,TreatmentMeanTransformed ,TreatmentSE,TreatmentN,AcclimationDays,NbTank,ei,vei,Note,,,,,
1,in,2011,,"Christensen AB, Nguyen HD, Byrne M",Journal of Experimental Marine Biology and Ecology,Echinodermata,Ophionereididae,Ophionereis schayeri,Temperate,Temperate,benthic,ADULT,YES,LARVAL,YES,NO,pH,323,15,NA,NBS,8.20,NA,NA,1053,11,NA,7.80,NA,NA,19.0,NA,NA,19.0,NA,NA,730,0.0,NA,MO2,Oxygen consumption rate,ambiguous,mgO2 g-1 h-1,Routine respiration,Individual level,0.03,0.025000,0.00,10,0.02,0.0190000,0.00,10,14,4,-0.274,0.0393,,,,,,
1,in,2011,,"Christensen AB, Nguyen HD, Byrne M",Journal of Experimental Marine Biology and Ecology,Echinodermata,Ophionereididae,Ophionereis schayeri,Temperate,Temperate,benthic,ADULT,YES,LARVAL,YES,YES,TpH,323,15,NA,NBS,8.20,NA,NA,1107,11,NA,7.80,NA,NA,19.0,NA,NA,25.0,NA,NA,784,6.0,NA,MO2,Oxygen consumption rate,ambiguous,mgO2 g-1 h-1,Routine respiration,Individual level,0.03,0.025000,0.00,10,0.03,0.0320000,0.00,10,14,4,0.247,0.0232,,,,,,
1,in,2011,,"Christensen AB, Nguyen HD, Byrne M",Journal of Experimental Marine Biology and Ecology,Echinodermata,Ophionereididae,Ophionereis schayeri,Temperate,Temperate,benthic,ADULT,YES,LARVAL,YES,NO,pH,323,15,NA,NBS,8.20,NA,NA,1731,18,NA,7.60,NA,NA,19.0,NA,NA,19.0,NA,NA,1408,0.0,NA,MO2,Oxygen consumption rate,ambiguous,mgO2 g-1 h-1,Routine respiration,Individual level,0.03,0.025000,0.00,10,0.04,0.0390000,0.01,10,14,4,0.445,0.0308,,,,,,
1,in,2011,,"Christensen AB, Nguyen HD, Byrne M",Journal of Experimental Marine Biology and Ecology,Echinodermata,Ophionereididae,Ophionereis schayeri,Temperate,Temperate,benthic,ADULT,YES,LARVAL,YES,YES,TpH,323,15,NA,NBS,8.20,NA,NA,1831,19,NA,7.60,NA,NA,19.0,NA,NA,25.0,NA,NA,1508,6.0,NA,MO2,Oxygen consumption rate,ambiguous,mgO2 g-1 h-1,Routine respiration,Individual level,0.03,0.025000,0.00,10,0.04,0.0420000,0.01,9,14,4,0.519,0.0348,,,,,,
1,in,2011,,"Christensen AB, Nguyen HD, Byrne M",Journal of Experimental Marine Biology and Ecology,Echinodermata,Ophionereididae,Ophionereis schayeri,Temperate,Temperate,benthic,ADULT,YES,LARVAL,NO,YES,T,323,15,NA,NBS,8.20,NA,NA,331,15,NA,8.20,NA,NA,19.0,NA,NA,25.0,NA,NA,8,6.0,NA,MO2,Oxygen consumption rate,ambiguous,mgO2 g-1 h-1,Routine respiration,Individual level,0.03,0.025000,0.00,10,0.05,0.0450000,0.01,10,14,4,0.588,0.0322,,,,,,
2,in,2016,,"Cole VJ, Parker LM, O'Connor SJ, O'Connor WA, Scanes E, Byrne M, Ross PM",Marine Biology,Mollusca,Ostreidae ,Ostrea angasi,Temperate,Temperate,pelagic,LARVA,YES,LARVAL,YES,YES,TpH,388,7,NA,NBS,8.20,NA,NA,1194,20,NA,7.79,NA,NA,26.0,NA,NA,30.0,NA,NA,805,4.0,Ambient salinity,Number of algal cells cleared/12 hr,Feeding,ambiguous,mL-1,Behavior,Individual level,26308.20,26308.203991,3802.66,3,2287.58,2287.5816993,1143.79,3,4,3,-2.442,0.2709,,,,,,
2,in,2016,,"Cole VJ, Parker LM, O'Connor SJ, O'Connor WA, Scanes E, Byrne M, Ross PM",Marine Biology,Mollusca,Ostreidae ,Ostrea angasi,Temperate,Temperate,pelagic,LARVA,YES,LARVAL,YES,NO,pH,388,7,NA,NBS,8.20,NA,NA,1158,20,NA,7.79,NA,NA,26.0,NA,NA,26.0,NA,NA,770,0.0,Ambient salinity,Number of algal cells cleared/12 hr,Feeding,ambiguous,mL-1,Behavior,Individual level,26308.20,26308.203991,3802.66,3,6023.97,6023.9651416,1525.05,3,4,3,-1.474,0.0850,,,,,,
2,in,2016,,"Cole VJ, Parker LM, O'Connor SJ, O'Connor WA, Scanes E, Byrne M, Ross PM",Marine Biology,Mollusca,Ostreidae ,Ostrea angasi,Temperate,Temperate,pelagic,LARVA,YES,LARVAL,NO,YES,T,388,7,NA,NBS,8.20,NA,NA,394,7,NA,8.20,NA,NA,26.0,NA,NA,30.0,NA,NA,6,4.0,Ambient salinity,Number of algal cells cleared/12 hr,Feeding,ambiguous,mL-1,Behavior,Individual level,26308.20,26308.203991,3802.66,3,6441.24,6441.2416851,853.66,3,4,3,-1.407,0.0385,,,,,,
2,in,2016,,"Cole VJ, Parker LM, O'Connor SJ, O'Connor WA, Scanes E, Byrne M, Ross PM",Marine Biology,Mollusca,Ostreidae ,Ostrea angasi,Temperate,Temperate,pelagic,LARVA,YES,LARVAL,NO,YES,T,388,7,NA,NBS,8.20,NA,NA,394,7,NA,8.20,NA,NA,26.0,NA,NA,30.0,NA,NA,6,4.0,Ambient salinity + full diet,Mortality ,survival,positive,%,Survival,Population level,4.19,95.813953,3.95,3,17.67,82.3255814,13.26,3,4,3,-0.152,0.0276,,,,,,
2,in,2016,,"Cole VJ, Parker LM, O'Connor SJ, O'Connor WA, Scanes E, Byrne M, Ross PM",Marine Biology,Mollusca,Ostreidae ,Ostrea angasi,Temperate,Temperate,pelagic,LARVA,YES,LARVAL,YES,YES,TpH,388,7,NA,NBS,8.20,NA,NA,1194,20,NA,7.79,NA,NA,26.0,NA,NA,30.0,NA,NA,805,4.0,Ambient salinity + full diet,Abnormalities,Normal,positive,%,Development,Population level,0.00,100.000000,0.000000,3,13.38,86.6228070,2.6316,3,4,3,-0.144,0.0009,Lots of 0 in here (AP and AQ) but again those are the data - no abnormality found. Abnormality transformed into % normality.,,,,,
2,in,2016,,"Cole VJ, Parker LM, O'Connor SJ, O'Connor WA, Scanes E, Byrne M, Ross PM",Marine Biology,Mollusca,Ostreidae ,Ostrea angasi,Temperate,Temperate,pelagic,LARVA,YES,LARVAL,YES,YES,TpH,388,7,NA,NBS,8.20,NA,NA,1194,20,NA,7.79,NA,NA,26.0,NA,NA,30.0,NA,NA,805,4.0,Ambient salinity + full diet,Mortality,survival,positive,%,Survival,Population level,4.19,95.813953,3.95,3,10.91,89.0909091,1.14,3,4,3,-0.073,0.0019,,,,,,
2,in,2016,,"Cole VJ, Parker LM, O'Connor SJ, O'Connor WA, Scanes E, Byrne M, Ross PM",Marine Biology,Mollusca,Ostreidae ,Ostrea angasi,Temperate,Temperate,pelagic,LARVA,YES,LARVAL,YES,NO,pH,388,7,NA,NBS,8.20,NA,NA,1158,20,NA,7.79,NA,NA,26.0,NA,NA,26.0,NA,NA,770,0.0,Ambient salinity + full diet,Shell length,Length,positive,µm,Growth,Individual level,292.33,292.325056,5.53,90,275.68,275.6849315,4.79,90,4,3,-0.059,0.0007,,,,,,
