,Telostylinus angusticollis,Poecilia reticulata,Panorpa cognata,Sturnus vulgaris,Scathophaga stercoraria,Simochromis pleurospilus,Anopheles stephensi,Dichochrysa prasina,Tribolium castaneum,Hippodamia convergens,Coleomegilla maculata,Cryptolaemus montrouzieri,Aedes aegypti,Drosophila melanogaster,Brachionus calyciflorus,Chrysoperla carnea,Nicrophorus vespilloides
Telostylinus angusticollis,1,0,0.658720201,0,0.924717691,0,0.658720201,0.611041405,0.611041405,0.611041405,0.611041405,0.611041405,0.658720201,0.924717691,0.055207026,0.611041405,0.611041405
Poecilia reticulata,0,1,0,0.454203262,0,0.850690088,0,0,0,0,0,0,0,0,0,0,0
Panorpa cognata,0.658720201,0,1,0,0.658720201,0,0.658720201,0.611041405,0.611041405,0.611041405,0.611041405,0.611041405,0.658720201,0.658720201,0.055207026,0.611041405,0.611041405
Sturnus vulgaris,0,0.454203262,0,1,0,0.454203262,0,0,0,0,0,0,0,0,0,0,0
Scathophaga stercoraria,0.924717691,0,0.658720201,0,1,0,0.658720201,0.611041405,0.611041405,0.611041405,0.611041405,0.611041405,0.658720201,0.930991217,0.055207026,0.611041405,0.611041405
Simochromis pleurospilus,0,0.850690088,0,0.454203262,0,1,0,0,0,0,0,0,0,0,0,0,0
Anopheles stephensi,0.658720201,0,0.658720201,0,0.658720201,0,1,0.611041405,0.611041405,0.611041405,0.611041405,0.611041405,0.761606023,0.658720201,0.055207026,0.611041405,0.611041405
Dichochrysa prasina,0.611041405,0,0.611041405,0,0.611041405,0,0.611041405,1,0.617314931,0.617314931,0.617314931,0.617314931,0.611041405,0.611041405,0.055207026,0.948557089,0.617314931
Tribolium castaneum,0.611041405,0,0.611041405,0,0.611041405,0,0.611041405,0.617314931,1,0.700125471,0.700125471,0.700125471,0.611041405,0.611041405,0.055207026,0.617314931,0.663739021
Hippodamia convergens,0.611041405,0,0.611041405,0,0.611041405,0,0.611041405,0.617314931,0.700125471,1,0.998745295,0.998745295,0.611041405,0.611041405,0.055207026,0.617314931,0.663739021
Coleomegilla maculata,0.611041405,0,0.611041405,0,0.611041405,0,0.611041405,0.617314931,0.700125471,0.998745295,1,0.998745295,0.611041405,0.611041405,0.055207026,0.617314931,0.663739021
Cryptolaemus montrouzieri,0.611041405,0,0.611041405,0,0.611041405,0,0.611041405,0.617314931,0.700125471,0.998745295,0.998745295,1,0.611041405,0.611041405,0.055207026,0.617314931,0.663739021
Aedes aegypti,0.658720201,0,0.658720201,0,0.658720201,0,0.761606023,0.611041405,0.611041405,0.611041405,0.611041405,0.611041405,1,0.658720201,0.055207026,0.611041405,0.611041405
Drosophila melanogaster,0.924717691,0,0.658720201,0,0.930991217,0,0.658720201,0.611041405,0.611041405,0.611041405,0.611041405,0.611041405,0.658720201,1,0.055207026,0.611041405,0.611041405
Brachionus calyciflorus,0.055207026,0,0.055207026,0,0.055207026,0,0.055207026,0.055207026,0.055207026,0.055207026,0.055207026,0.055207026,0.055207026,0.055207026,1,0.055207026,0.055207026
Chrysoperla carnea,0.611041405,0,0.611041405,0,0.611041405,0,0.611041405,0.948557089,0.617314931,0.617314931,0.617314931,0.617314931,0.611041405,0.611041405,0.055207026,1,0.617314931
Nicrophorus vespilloides,0.611041405,0,0.611041405,0,0.611041405,0,0.611041405,0.617314931,0.663739021,0.663739021,0.663739021,0.663739021,0.611041405,0.611041405,0.055207026,0.617314931,1
