ES.ID,Study,Year,Category,Sub_category,Response,same_trt,experiment,Ctrl-shared_YN,Shared-Control,LaterDiet,TrtFood,TrtResponse,TrtSE,TrtSD,CtrlFood,CtrlResponse,CtrlSE,CtrlSD,nTrt,nCtrl,Species,Sp_group,age_treated,sex,Trt_magnitude,Trt_duration,Recovery,LoH
1,Abarca & Boege 2011,2011,Condition,development_rate,time until pupation,a,a,N,NA,uniform fresh,trenched leaves,12,0.48,1.662768775,untrenched leaves,11.5,0.88,1.76,12,4,Lepidomys.proclea,Insect,juvenile,Male,NA,0.347826087,0.625,lower
2,Abarca & Boege 2011,2011,Condition,development_rate,time until pupation,a,a,N,NA,uniform fresh,trenched leaves,12.5,0.64,2.217025034,untrenched leaves,12.5,0.68,2.544327023,12,14,Lepidomys.proclea,Insect,juvenile,Female,NA,0.32,0.68,lower
3,Abarca & Boege 2011,2011,Condition,size_growth,pupal weight,a,a,N,NA,uniform fresh,trenched leaves,29,0.875,3.031088913,untrenched leaves,23,1,2,12,4,Lepidomys.proclea,Insect,juvenile,Male,NA,0.347826087,0.625,higher
4,Abarca & Boege 2011,2011,Condition,size_growth,pupal weight,a,a,N,NA,uniform fresh,trenched leaves,37,1.625,5.629165125,untrenched leaves,32,1.25,4.677071733,12,14,Lepidomys.proclea,Insect,juvenile,Female,NA,0.32,0.68,higher
5,Adler et al. 2013,2013,Reproduction,egg_offspring_quality,Ma egg-to-adult viability of offspring - mixed sex,xxxxxxxxx,b,N,NA,sugar+soy,Poor,0.49,,0.21,Rich,0.35,,0.28,6,6,Telostylinus.angusticollis,Insect,youngest,Male,0.333333333,1,0.522727273,higher
6,Adler et al. 2013,2013,Reproduction,egg_offspring_quality,Ma egg-to-adult viability of offspring - mixed sex,wwwwwwwww,e,N,NA,sugar,Poor,0.57,,0.21,Rich,0.53,,0.37,5,4,Telostylinus.angusticollis,Insect,youngest,Male,0.333333333,1,0.522727273,higher
7,Adler et al. 2013,2013,Reproduction,egg_offspring_quality,Ma egg-to-adult viability of offspring - same sex,ww,c,N,NA,sugar,Poor,0.37,,0.18,Rich,0.58,,0.15,6,6,Telostylinus.angusticollis,Insect,youngest,Male,0.333333333,1,0.522727273,higher
8,Adler et al. 2013,2013,Reproduction,egg_offspring_quality,Ma egg-to-adult viability of offspring - same sex,vvvvvvvvv,d,N,NA,sugar+soy,Poor,0.37,,0.36,Rich,0.6,,0.28,5,5,Telostylinus.angusticollis,Insect,youngest,Male,0.333333333,1,0.522727273,higher
9,Adler et al. 2013,2013,Condition,stress_tolerance,Fm days to starvation (Age 28),yyyyyyyyy,f,N,NA,sugar,Poor,11.6,0.6,2.323790008,Rich,14.1,0.8,2.993325909,15,14,Telostylinus.angusticollis,Insect,youngest,Female,0.333333333,1,0.571428571,higher
10,Adler et al. 2013,2013,Condition,stress_tolerance,Ma days to starvation (Age 28),zzzzzzzzz,f,N,NA,sugar,Poor,8.8,0.6,2.323790008,Rich,16.1,0.5,1.936491673,15,15,Telostylinus.angusticollis,Insect,youngest,Male,0.333333333,1,0.571428571,higher
11,Adler et al. 2013,2013,Reproduction,egg_offspring_quantity,Fm total eggs (Age 16d) - mixed sex,n,b,N,NA,sugar+soy,Poor,32,,55.4,Rich,26,,36.8,3,2,Telostylinus.angusticollis,Insect,youngest,Female,0.333333333,1,0.432432432,higher
12,Adler et al. 2013,2013,Longevity,longevity,Fm mean lifespan (days) - mixed sex,xxxxxxxxx,b,N,NA,sugar+soy,Poor,33.63,4.08,9.993918151,Rich,31.83,4.74,11.61058138,6,6,Telostylinus.angusticollis,Insect,youngest,Female,0.333333333,1,0.615595826,higher
13,Adler et al. 2013,2013,Longevity,longevity,Ma mean lifespan (days) - mixed sex,xxxxxxxxx,b,N,NA,sugar+soy,Poor,37,2.67,6.540137613,Rich,32.19,2.24,5.486857024,6,6,Telostylinus.angusticollis,Insect,youngest,Male,0.333333333,1,0.637931034,higher
14,Adler et al. 2013,2013,Longevity,longevity,Fm mean lifespan (days) - same sex,vv,d,N,NA,sugar+soy,Poor,34.88,1.65,4.041658076,Rich,33.36,1.17,2.865902999,6,6,Telostylinus.angusticollis,Insect,youngest,Female,0.333333333,1,0.624194703,higher
