"Category","age","sex","magnitude","duration","Recovery","Sub.cat","same.trt","same.ctrl","Study","Species","Species.no.phylo","ES.ID","Sp.group","m1i","m2i","sd1i","sd2i","n1i","n2i","nCtrl"
"Condition","juvenile","Male",NA,0.347826087,0.625,"development_rate","a",NA,"Abarca & Boege 2011","Lepidomys.proclea","Lepidomys.proclea","1","Insect",11.5,12,1.76,1.662768775,4,12,4
"Condition","juvenile","Female",NA,0.32,0.68,"development_rate","a",NA,"Abarca & Boege 2011","Lepidomys.proclea","Lepidomys.proclea","2","Insect",12.5,12.5,2.544327023,2.217025034,14,12,14
"Condition","juvenile","Male",NA,0.347826087,0.625,"size_growth","a",NA,"Abarca & Boege 2011","Lepidomys.proclea","Lepidomys.proclea","3","Insect",29,23,3.031088913,2,12,4,4
"Condition","juvenile","Female",NA,0.32,0.68,"size_growth","a",NA,"Abarca & Boege 2011","Lepidomys.proclea","Lepidomys.proclea","4","Insect",37,32,5.629165125,4.677071733,12,14,14
"Reproduction","youngest","Male",0.666666667,1,0.522727273,"egg_offspring_quality","xxxxxxxxx",NA,"Adler et al. 2013","Telostylinus.angusticollis","Telostylinus.angusticollis","5","Insect",0.49,0.35,0.21,0.28,6,6,6
"Reproduction","youngest","Male",0.666666667,1,0.522727273,"egg_offspring_quality","wwwwwwwww",NA,"Adler et al. 2013","Telostylinus.angusticollis","Telostylinus.angusticollis","6","Insect",0.57,0.53,0.21,0.37,5,4,4
"Reproduction","youngest","Male",0.666666667,1,0.522727273,"egg_offspring_quality","ww",NA,"Adler et al. 2013","Telostylinus.angusticollis","Telostylinus.angusticollis","7","Insect",0.37,0.58,0.18,0.15,6,6,6
"Reproduction","youngest","Male",0.666666667,1,0.522727273,"egg_offspring_quality","vvvvvvvvv",NA,"Adler et al. 2013","Telostylinus.angusticollis","Telostylinus.angusticollis","8","Insect",0.37,0.6,0.36,0.28,5,5,5
"Condition","youngest","Female",0.666666667,1,0.571428571,"stress_tolerance","yyyyyyyyy",NA,"Adler et al. 2013","Telostylinus.angusticollis","Telostylinus.angusticollis","9","Insect",11.6,14.1,2.323790008,2.993325909,15,14,14
"Condition","youngest","Male",0.666666667,1,0.571428571,"stress_tolerance","zzzzzzzzz",NA,"Adler et al. 2013","Telostylinus.angusticollis","Telostylinus.angusticollis","10","Insect",8.8,16.1,2.323790008,1.936491673,15,15,15
"Reproduction","youngest","Female",0.666666667,1,0.432432432,"egg_offspring_quantity","n",NA,"Adler et al. 2013","Telostylinus.angusticollis","Telostylinus.angusticollis","11","Insect",32,26,55.4,36.8,3,2,2
"Longevity","youngest","Female",0.666666667,1,0.615595826,"longevity","xxxxxxxxx",NA,"Adler et al. 2013","Telostylinus.angusticollis","Telostylinus.angusticollis","12","Insect",33.63,31.83,9.993918151,11.61058138,6,6,6
"Longevity","youngest","Male",0.666666667,1,0.637931034,"longevity","xxxxxxxxx",NA,"Adler et al. 2013","Telostylinus.angusticollis","Telostylinus.angusticollis","13","Insect",37,32.19,6.540137613,5.486857024,6,6,6
"Longevity","youngest","Female",0.666666667,1,0.624194703,"longevity","vv",NA,"Adler et al. 2013","Telostylinus.angusticollis","Telostylinus.angusticollis","14","Insect",34.88,33.36,4.041658076,2.865902999,6,6,6
"Longevity","youngest","Male",0.666666667,1,0.629498941,"longevity","vvvvvvvvv",NA,"Adler et al. 2013","Telostylinus.angusticollis","Telostylinus.angusticollis","15","Insect",35.68,37.49,6.638117203,4.776504998,6,6,6
"Longevity","youngest","Female",0.666666667,1,0.736677116,"longevity","o",NA,"Adler et al. 2013","Telostylinus.angusticollis","Telostylinus.angusticollis","16","Insect",58.75,52.58,5.560341716,6.540137613,6,6,6
"Longevity","youngest","Male",0.666666667,1,0.726134585,"longevity","ww",NA,"Adler et al. 2013","Telostylinus.angusticollis","Telostylinus.angusticollis","17","Insect",55.68,60.77,5.829785588,9.33255592,6,6,6
"Longevity","youngest","Female",0.666666667,1,0.734613926,"longevity","wwwwwwwww",NA,"Adler et al. 2013","Telostylinus.angusticollis","Telostylinus.angusticollis","18","Insect",58.13,62.67,6.074734562,14.79491805,6,6,6
"Longevity","youngest","Male",0.666666667,1,0.72642001,"longevity","wwwwwwwww",NA,"Adler et al. 2013","Telostylinus.angusticollis","Telostylinus.angusticollis","19","Insect",55.76,63.1,10.16538243,16.11764251,6,6,6
"Reproduction","youngest","Female",0.666666667,1,0.432432432,"egg_offspring_quantity","uu",NA,"Adler et al. 2013","Telostylinus.angusticollis","Telostylinus.angusticollis","20","Insect",42.75,113.4,30.27,66.6,4,5,5
"Reproduction","youngest","Female",0.666666667,1,0.487804878,"egg_offspring_quantity","uu",NA,"Adler et al. 2013","Telostylinus.angusticollis","Telostylinus.angusticollis","21","Insect",60.3,146.7,27.1,37.8,6,6,6
"Reproduction","youngest","Male",0.666666667,1,0.522727273,"egg_offspring_quality","ww",NA,"Adler et al. 2013","Telostylinus.angusticollis","Telostylinus.angusticollis","22","Insect",330.9,286.7,42.1,99.5,5,6,6
"Reproduction","youngest","Male",0.666666667,1,0.522727273,"egg_offspring_quality","vvvvvvvvv",NA,"Adler et al. 2013","Telostylinus.angusticollis","Telostylinus.angusticollis","23","Insect",328.6,315.3,23.9,19.8,3,6,6
"Reproduction","youngest","Male",0.666666667,1,0.522727273,"egg_offspring_quality","xxxxxxxxx",NA,"Adler et al. 2013","Telostylinus.angusticollis","Telostylinus.angusticollis","24","Insect",320.4,388.2,24.7,117.6,6,6,6
"Reproduction","youngest","Male",0.666666667,1,0.522727273,"egg_offspring_quality","wwwwwwwww",NA,"Adler et al. 2013","Telostylinus.angusticollis","Telostylinus.angusticollis","25","Insect",311.6,430.7,22.2,141.3,5,3,3
"Reproduction","youngest","Female",0.75,1,NA,"mating","j",NA,"Agarwala et al 2001","Cheilomenes.sexmaculata","Cheilomenes.sexmaculata","26","Insect",5.8,9.57,1.423024947,3.836339401,10,7,10
"Reproduction","youngest","Female",0.75,1,NA,"egg_offspring_quantity","j",NA,"Agarwala et al 2001","Cheilomenes.sexmaculata","Cheilomenes.sexmaculata","27","Insect",23.6,32.4,5.026927491,6.008327554,7,10,10
