"","theta","design","n1","n2","true_lnM","delta_mean","safe_mean","delta_bias","safe_bias","mean_var_delta","mean_var_safe","relbias_delta","relbias_safe","rmse_delta","rmse_safe","cover_delta","cover_safe","boot_keep","boot_total","mcse_bias_delta","mcse_bias_safe","mcse_varbar_delta","mcse_varbar_safe","mcse_cover_delta","mcse_cover_safe","facet_label"
"1",0.2,"indep",5,5,NA,-0.748893946164129,-1.16851757967361,NA,NA,5.79771580261387,0.434823559083881,276.649274040597,-71.7516374654213,NA,NA,NA,NA,3764889073,3709100000,NA,NA,0.0380937253938704,0.000396310724107968,NA,NA,"indep n1=5 n2=5"
"2",0.3,"indep",5,5,NA,-0.708317332219354,-1.10243109556294,NA,NA,5.4979380839867,0.430446895787093,271.76021522239,-70.893991861112,NA,NA,NA,NA,3989143953,3929900000,NA,NA,0.03631872915349,0.000401233237079784,NA,NA,"indep n1=5 n2=5"
"3",0.4,"indep",5,5,NA,-0.657249659520275,-1.02006066077219,NA,NA,5.04713320681772,0.424928775479395,252.835978277184,-70.2939958089731,NA,NA,NA,NA,4390703598,4324400000,NA,NA,0.0333893976834811,0.000400573781182237,NA,NA,"indep n1=5 n2=5"
"4",0.5,"indep",5,5,NA,-0.610129705055215,-0.947182158665771,NA,NA,4.73618984647712,0.418817996189953,239.982784430441,-69.9355572454192,NA,NA,NA,NA,4833567075,4759500000,NA,NA,0.0311553268951701,0.000401132506304782,NA,NA,"indep n1=5 n2=5"
"5",0.6,"indep",5,5,NA,-0.55921671415673,-0.867972758824487,NA,NA,4.34848264224293,0.412243578943603,218.723274161349,-69.7844894316684,NA,NA,NA,NA,5313618308,5231700000,NA,NA,0.0287232327761287,0.000398050892952586,NA,NA,"indep n1=5 n2=5"
"6",0.7,"indep",5,5,-1.55054639460591,-0.501223164860914,-0.779926527028918,1.049323229745,0.770619867576991,3.99338864757997,0.404036007655289,204.756563900773,-69.1658798449704,1.26414211569547,1.37992238421051,0.657650601361113,0.543418098271631,5836931583,5745300000,0.0029411363132894,0.00477570948317512,0.026516862505683,0.000399612622989901,0.00197959359491056,0.00207811721470014,"indep n1=5 n2=5"
"7",0.8,"indep",5,5,-1.06013176810005,-0.436917532270691,-0.681061554090841,0.623214235829354,0.379070214009204,3.53125428918456,0.395499706250834,186.483379281925,-67.9139243246308,0.932413238473439,1.17315625986096,0.754535327816677,0.675922978994271,6385648693,6.284e+09,0.00276666905111759,0.00442890834446422,0.0239302670163452,0.0003971083245656,0.00171678614304071,0.00186704435891516,"indep n1=5 n2=5"
"8",0.9,"indep",5,5,-0.792372649921864,-0.37891461734654,-0.59453868778726,0.413458032575324,0.197833962134604,3.1802448221677,0.387036138688338,173.882802792114,-66.6684332895016,0.799355354192508,1.09557798517939,0.804211674206811,0.729114782121752,6896467688,6785900000,0.00262622750471621,0.00413660609582069,0.0219295057764296,0.000396515915854637,0.00152326286679692,0.00170603083778957,"indep n1=5 n2=5"
"9",1,"indep",5,5,-0.601986402162968,-0.320451987431113,-0.50955016945788,0.281534414731855,0.092436232705088,2.84467477305789,0.377556999927334,156.277524708967,-65.985787094421,0.733962102917719,1.057604383437,0.834634900228401,0.756828097432882,7431977938,7311700000,0.00250673020952762,0.00389629533411659,0.019984561639342,0.000395558801207434,0.00137391864434573,0.00158652214290763,"indep n1=5 n2=5"
"10",1.2,"indep",5,5,-0.326963233703332,-0.20351053423245,-0.342371748137991,0.123452699470882,-0.015408514434659,2.24878845714575,0.358017484811726,134.350829169292,-62.6902681058655,0.664742169152274,0.979697789577562,0.871229670088513,0.791641266977152,8339971056,8202200000,0.002280704717119,0.00342039196135279,0.0167538439582071,0.00039534715327843,0.00116952377611151,0.00141809357438968,"indep n1=5 n2=5"
