"theta","design","n1","n2","rho","true_lnM","true_var_delta","true_var_safe","replicates","delta_mean","safe_mean","delta_bias","safe_bias","mean_var_delta","mean_var_safe","med_var_delta","med_var_safe","trim_var_delta","trim_var_safe","relbias_delta","relbias_safe","rmse_delta","rmse_safe","cover_delta","cover_safe","boot_keep","boot_total"
0.2,"indep",5,5,0,NA,0.451844369057725,0.073295207410264,362,-0.696220813833544,-0.317266243364125,NA,NA,105.094279152677,0.432436965156174,1.64402380989223,0.458367911259317,4.28050603060195,0.446344877251902,847.340793363986,508.96870753571,NA,NA,NA,NA,4158561,3620000
0.3,"indep",5,5,0,NA,0.630155286183779,0.0820853118640889,399,-0.761004906568427,-0.314929065132728,NA,NA,9137.47861698807,0.43021668811896,1.83998678184276,0.459119037906866,7.37926410455261,0.444341472043659,1071.02312181517,441.316664276514,NA,NA,NA,NA,4594497,3990000
0.4,"indep",5,5,0,NA,0.569752596315248,0.0861538375214318,449,-0.688589322473493,-0.303380511365255,NA,NA,373386.420499233,0.426834064499069,1.41276183442209,0.452660731666737,4.82097247104373,0.438741486888407,746.151909130792,409.253562592919,NA,NA,NA,NA,5196146,4490000
0.5,"indep",5,5,0,NA,0.576182898032094,0.115296337958066,500,-0.57646561205944,-0.243163563373657,NA,NA,366.594057942828,0.410953064181162,0.978625014360354,0.438411782439589,4.20122979416303,0.423524499677009,629.148645076415,267.335604215848,NA,NA,NA,NA,5812556,5e+06
0.6,"indep",5,5,0,NA,0.583020814890895,0.115828297910013,530,-0.582341779046594,-0.246619659928767,NA,NA,464.220567200933,0.411637579416251,1.13182742767875,0.441344580868581,3.39379109569939,0.424075017424833,482.104619426753,266.123844584419,NA,NA,NA,NA,6126855,5300000
0.7,"indep",5,5,0,-1.55054639460591,0.485800282671475,0.126819261020841,604,-0.47884326150081,-0.220983966606621,1.0717031331051,1.32956242799929,57741.3710519719,0.402913251757674,0.871904399555557,0.431791818054952,2.04973843109841,0.416325467639612,321.930267274989,228.282521352331,1.27810155428862,1.36564522354901,0.650662251655629,0.544701986754967,7039536,6040000
0.8,"indep",5,5,0,-1.06013176810005,0.46980896553506,0.145474983745198,635,-0.42449425879734,-0.188739254863842,0.635637509302705,0.871392513236203,193.582024407289,0.393120628560083,0.74468931348323,0.423397540846573,1.97533356956563,0.406099599226447,320.454634644094,179.154249597813,0.934400423870285,0.93421236005565,0.751181102362205,0.78740157480315,7431079,6350000
0.9,"indep",5,5,0,-0.792372649921864,0.477502990336079,0.148984419982681,690,-0.386923574005735,-0.16778811739767,0.405449075916129,0.624584532524194,687.778195336671,0.387090256915806,0.617369032491314,0.413750498073713,1.72090193999905,0.398725791023223,260.39605506718,167.629186373699,0.800749592680505,0.708601166078588,0.808695652173913,0.855072463768116,8063456,6900000
1,"indep",5,5,0,-0.601986402162968,0.461728337594182,0.166702010936468,750,-0.322496200297645,-0.131160894103186,0.279490201865322,0.470825508059781,464.845929052494,0.376331645894726,0.575260122330538,0.407253568553095,1.3792236927983,0.388210802945811,198.708911821331,132.877096541902,0.734321096489432,0.592400140231294,0.832,0.873333333333333,8789251,7500000
1.5,"indep",5,5,0,-0.0389807707348558,0.35510518794752,0.200633954065934,902,-0.0104470647356643,0.0557080028509983,0.0285337059991915,0.0946887735858542,55.8298858295109,0.325175150917387,0.310073184125975,0.340386945485145,0.492499562248921,0.33080181393269,38.6911762949818,64.8782806842252,0.596259736913728,0.416472494310918,0.894678492239468,0.912416851441242,10790799,9020000
