"theta","design","n1","n2","true_lnM","delta_mean","safe_mean","delta_bias","safe_bias","mean_var_delta","mean_var_safe","relbias_delta","relbias_safe","rmse_delta","rmse_safe","cover_delta","cover_safe","boot_keep","boot_total","mcse_bias_delta","mcse_bias_safe","mcse_varbar_delta","mcse_varbar_safe","mcse_cover_delta","mcse_cover_safe","delta_fail_prop","safe_fail_prop","boot_accept_prop"
0.2,"indep",5,5,NA,-0.825853451281949,-1.26193686679937,NA,NA,6.49185165632068,0.451468556215573,686.541111150491,-45.3008789087827,NA,NA,NA,NA,449127,380000,NA,NA,1.1548329508651,0.00931772745021719,NA,NA,0.62,0.62,0.449127
0.3,"indep",5,5,NA,-0.682656453535056,-1.05865102048448,NA,NA,4.82117841314154,0.426565480830539,244.429944365983,-69.525723331368,NA,NA,NA,NA,450439,390000,NA,NA,1.02845029369653,0.012778159338377,NA,NA,0.61,0.61,0.450439
0.4,"indep",5,5,NA,-0.681556831267577,-1.02399716771249,NA,NA,4.63782561587323,0.446367230179818,456.952749181489,-46.3961182278373,NA,NA,NA,NA,452215,390000,NA,NA,0.952742711137678,0.0109836961942884,NA,NA,0.61,0.61,0.452215
0.5,"indep",5,5,NA,-0.582802158891495,-0.907571929195453,NA,NA,5.30376797855682,0.411154988525546,331.677109012682,-66.5358293348374,NA,NA,NA,NA,572368,490000,NA,NA,1.06637222745408,0.0134328652600618,NA,NA,0.51,0.51,0.572368
0.6,"indep",5,5,NA,-0.388779443136408,-0.623563584571725,NA,NA,3.82866062561467,0.376800659627918,208.725660947154,-69.6165202236287,NA,NA,NA,NA,583943,5e+05,NA,NA,0.957512441789706,0.0161664054929738,NA,NA,0.5,0.5,0.583943
0.7,"indep",5,5,-1.55054639460591,-0.577637953057942,-0.950493723086863,0.972908441547968,0.600052671519046,5.16909785219323,0.39456977656503,130.659171510781,-82.3932259809962,1.31234208028049,1.59936801046766,0.615384615384615,0.480769230769231,603616,520000,0.123327310401926,0.207596650031065,1.04637063999383,0.0152399341602463,0.0674660014851561,0.0692862203964319,0.48,0.48,0.603616
0.9,"indep",5,5,-0.792372649921864,-0.624009209804368,-0.990569837695785,0.168363440117497,-0.198197187773921,5.02243718713296,0.413190713256017,152.107251678373,-79.2593971299689,0.842075241134099,1.41541724105645,0.901408450704225,0.732394366197183,815631,710000,0.0986150136180993,0.167507946124456,0.870013925199323,0.0111654384309118,0.0353794831336766,0.0525401065531565,0.29,0.29,0.815631
1,"indep",5,5,-0.601986402162968,-0.249820591620224,-0.403839098169648,0.352165810542744,0.19814730399332,2.10299725748899,0.369635951350831,127.269390407641,-60.0537104662907,0.731783947697385,0.975081433657139,0.791044776119403,0.761194029850746,794607,670000,0.078959808340809,0.117519917601555,0.511509018164067,0.0139083957682888,0.0496694954725895,0.0520874234642031,0.33,0.33,0.794607
1.2,"indep",5,5,-0.326963233703332,-0.273721320258332,-0.467928718854655,0.0532419134449996,-0.140965485151323,2.99332741909082,0.36415676095752,85.6924531114195,-77.4093666372623,0.782964889699012,1.26990637753457,0.869047619047619,0.738095238095238,989190,840000,0.0857426323473722,0.138528886105138,0.651220112926606,0.0127361679960402,0.0368077138129269,0.0479720476146032,0.16,0.16,0.98919
1.4,"indep",5,5,-0.12423067964925,-0.102954282493125,-0.229741872564842,0.0212763971561243,-0.105511192915593,2.40964557507551,0.334438488394866,139.566068658855,-66.7502496210641,0.689439228620284,1.00276628917736,0.897727272727273,0.784090909090909,1047188,880000,0.0738804381186553,0.106911050087469,0.551913772298782,0.0134582451007025,0.0323006150604481,0.0438608796718646,0.12,0.12,1.047188
