"theta","design","n1","n2","rho","replicates","delta_bias","safe_bias","delta_var","safe_var","relbias_var","cover_delta","cover_safe","boot_keep","boot_total"
0.05,"indep",5,5,0,366,NA,NA,4410.5275865233,0.43635227699727,1010672.21754727,NA,NA,4202944,3660000
0.1,"indep",5,5,0,347,NA,NA,2673.58340134559,0.432461058099702,618125.23699445,NA,NA,3993465,3470000
0.5,"indep",5,5,0,473,NA,NA,110.018850042164,0.423528961124863,25876.7005661105,NA,NA,5440632,4730000
1,"indep",5,5,0,735,0.318616572170931,0.48800819909102,1367.20413454127,0.3740732553428,365391.014129937,0.83265306122449,0.887074829931973,8643134,7350000
2,"indep",5,5,0,984,0.00777448069934722,-0.00651756719037572,1.65487765101537,0.254677845177506,549.792544719367,0.931910569105691,0.93089430894309,12066240,9840000
3,"indep",5,5,0,1000,0.0336899925528464,0.00427688406965654,0.139842461626106,0.15320400025361,-8.72140323058519,0.912,0.887,12648651,1e+07
4,"indep",5,5,0,1000,0.0346517712440362,0.0184149389713784,0.0976462696109787,0.106863289275009,-8.62505704864683,0.927,0.892,12723066,1e+07
5,"indep",5,5,0,1000,0.0701166300476064,0.062279173737217,0.0821738877463253,0.0875447366048681,-6.13497631820402,0.92,0.868,12733425,1e+07
0.05,"indep",10,10,0,304,NA,NA,1361.57674020333,0.417956659976175,325669.839456785,NA,NA,3557036,3040000
0.1,"indep",10,10,0,342,NA,NA,848.298120456437,0.41158769488958,206003.8585432,NA,NA,4009514,3420000
0.5,"indep",10,10,0,550,0.91082694966528,1.23267095382613,73407.6466457591,0.383542830992277,19139260.9041899,0.683636363636364,0.769090909090909,6702907,5500000
1,"indep",10,10,0,900,0.00204174447461802,0.0999832240046153,33.9897056333554,0.307430231905802,10956.0712987297,0.91,0.946666666666667,11726821,9e+06
2,"indep",10,10,0,1000,0.00241702433674207,-0.00923121265606658,0.135673726433198,0.127898327307093,6.07935951143086,0.934,0.932,14373645,1e+07
3,"indep",10,10,0,1000,0.0215530241848098,0.0286480706660738,0.0546644499209889,0.0647578354769087,-15.5863541169761,0.932,0.909,14494610,1e+07
4,"indep",10,10,0,1000,0.0252813234574212,0.0394439375861995,0.0418248399691455,0.049915445804322,-16.2086218099567,0.946,0.928,14495712,1e+07
5,"indep",10,10,0,1000,0.0236344450258879,0.0403035223236861,0.0366405950753283,0.0441709045860516,-17.048121566207,0.943,0.919,14496080,1e+07
0.05,"indep",20,20,0,326,NA,NA,351.213614767024,0.392546884313136,89370.4884440909,NA,NA,3887152,3260000
0.1,"indep",20,20,0,361,NA,NA,2911.91771155735,0.393553254948492,739804.364896805,NA,NA,4290476,3610000
0.5,"indep",20,20,0,731,0.162100566844852,0.396242915876191,76.8375723511104,0.339297651934774,22546.0666358756,0.868673050615595,0.952120383036936,9278619,7310000
