"design","n1","n2","r","theta","lnM_true","delta_var_cap","delta_var_capped_rate","delta_var_capped_n","bias_PI","bias_BC","Var_MC_PI","Var_MC_BC","Var_delta_bar","Var_SAFE_bar","rb_delta_PI","rb_delta_BC","rb_SAFE_PI","rb_SAFE_BC","cover_PI","cover_BC","rmse_PI","rmse_BC","PI_valid_rate","SAFE_kept_rate","SAFE_status_ok","delta_mean","safe_mean","delta_bias","safe_bias","mean_var_delta","mean_var_safe","relbias_delta","relbias_safe","rmse_delta","rmse_safe","cover_delta","cover_safe","facet_label"
"indep",5,5,NA,0.2,-1.95601150271407,20,0,0,NA,1.41355341193339,NA,0.0598292131814518,NA,0.501827489948706,NA,NA,NA,738.766654722249,NA,0.595,NA,1.43445575585449,0,0.414588866344861,1,NA,-0.54245809078068,NA,1.41355341193339,NA,0.501827489948706,NA,738.766654722249,NA,1.43445575585449,NA,0.595,"indep n1=5 n2=5"
"indep",10,10,NA,0.2,-1.95601150271407,20,0,0,NA,1.00909478593266,NA,0.0616604424330814,NA,0.449880684084618,NA,NA,NA,629.609886553868,NA,0.835,NA,1.03904977128981,0,0.402405512649645,1,NA,-0.946916716781409,NA,1.00909478593266,NA,0.449880684084618,NA,629.609886553868,NA,1.03904977128981,NA,0.835,"indep n1=10 n2=10"
"indep",20,20,NA,0.2,-1.95601150271407,20,0,0,NA,0.676583937681222,NA,0.0696300303419865,NA,0.426500704821908,NA,NA,NA,512.524082967016,NA,0.925,NA,0.725980512767736,0,0.419195374530666,1,NA,-1.27942756503285,NA,0.676583937681222,NA,0.426500704821908,NA,512.524082967016,NA,0.725980512767736,NA,0.925,"indep n1=20 n2=20"
"indep",100,100,NA,0.2,-1.95601150271407,20,0,0,NA,0.0323010484047157,NA,0.120804034304788,NA,0.371338457457421,NA,NA,NA,207.389119572395,NA,0.97,NA,0.34820018934703,0,0.457649919959338,1,NA,-1.92371045430936,NA,0.0323010484047157,NA,0.371338457457421,NA,207.389119572395,NA,0.34820018934703,NA,0.97,"indep n1=100 n2=100"
"indep",3,7,NA,0.2,-1.95601150271407,20,0,0,NA,1.4876013016803,NA,0.0987735155470387,NA,0.494945897517197,NA,NA,NA,401.091709428414,NA,0.45,NA,1.52027539634444,0,0.400679237370639,1,NA,-0.468410201033769,NA,1.4876013016803,NA,0.494945897517197,NA,401.091709428414,NA,1.52027539634444,NA,0.45,"indep n1=3 n2=7"
"indep",6,14,NA,0.2,-1.95601150271407,20,0,0,NA,1.03980951127332,NA,0.0532009139411172,NA,0.454909071616949,NA,NA,NA,755.077550209838,NA,0.845,NA,1.0649594964626,0,0.392278601769913,1,NA,-0.916201991440754,NA,1.03980951127332,NA,0.454909071616949,NA,755.077550209838,NA,1.0649594964626,NA,0.845,"indep n1=6 n2=14"
"indep",12,28,NA,0.2,-1.95601150271407,20,0,0,NA,0.724775287032056,NA,0.0785497890354559,NA,0.427927714749454,NA,NA,NA,444.785313880723,NA,0.9,NA,0.776824469737326,0,0.396320908145863,1,NA,-1.23123621568202,NA,0.724775287032056,NA,0.427927714749454,NA,444.785313880723,NA,0.776824469737326,NA,0.9,"indep n1=12 n2=28"
"indep",40,160,NA,0.2,-1.95601150271407,20,0,0,NA,0.181753388956857,NA,0.113359011160226,NA,0.383700579888327,NA,NA,NA,238.482645500489,NA,0.955,NA,0.381872374624988,0,0.428634127860743,1,NA,-1.77425811375722,NA,0.181753388956857,NA,0.383700579888327,NA,238.482645500489,NA,0.381872374624988,NA,0.955,"indep n1=40 n2=160"
"indep",5,5,NA,0.3,-1.55054639460591,20,0,0,NA,1.06215100147019,NA,0.0876567613544281,NA,0.488251801393832,NA,NA,NA,457.004153301595,NA,0.835,NA,1.10244420605842,0,0.423141548535196,1,NA,-0.488395393135716,NA,1.06215100147019,NA,0.488251801393832,NA,457.004153301595,NA,1.10244420605842,NA,0.835,"indep n1=5 n2=5"
"indep",10,10,NA,0.3,-1.55054639460591,20,0,0,NA,0.642233355053177,NA,0.0625584841185577,NA,0.442363443383112,NA,NA,NA,607.11982493816,NA,0.945,NA,0.688991563112949,0,0.418705257526304,1,NA,-0.908313039552731,NA,0.642233355053177,NA,0.442363443383112,NA,607.11982493816,NA,0.688991563112949,NA,0.945,"indep n1=10 n2=10"
