"theta","design","n1","n2","rho","true_lnM","delta_bias","rmse_delta","safe_bias_mean","rmse_mean","safe_bias_med","rmse_med","safe_bias_mode","rmse_mode","relbias_delta","relbias_safe","cover_delta","cover_safe","boot_keep","boot_total"
0.2,"indep",5,5,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,919.802071124704,503.405886336638,NA,NA,4405817,3820000
0.3,"indep",5,5,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,987.88415964047,504.066638664436,NA,NA,4707814,4080000
0.4,"indep",5,5,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,861.360415975496,350.247207563869,NA,NA,5437118,4700000
0.5,"indep",5,5,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,576.255587722838,302.806309621588,NA,NA,5471958,4730000
0.6,"indep",5,5,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,524.660574839699,272.926773798875,NA,NA,6268427,5410000
0.7,"indep",5,5,0,-1.55054639460591,1.06882891260367,1.28391162530564,1.33644348227022,1.37400293651214,1.40936059063322,1.44065089340741,1.51871226041595,1.54153713905772,294.52746860755,223.199811884419,0.671428571428571,0.546428571428571,6507709,5600000
0.8,"indep",5,5,0,-1.06013176810005,0.606678113195654,0.909789033481,0.850713718471327,0.90808389701581,0.92395912650207,0.970725709566255,1.0330091087811,1.06642333536279,293.37540616526,214.748314457508,0.7616,0.816,7302078,6250000
0.9,"indep",5,5,0,-0.792372649921864,0.410668822014123,0.78499444696037,0.623830881530976,0.71137286289776,0.694029966619732,0.763671907804278,0.801659058826956,0.848454407872325,248.038582815408,164.080529421666,0.813813813813814,0.861861861861862,7787583,6660000
1,"indep",5,5,0,-0.601986402162968,0.29513191002437,0.728596137787868,0.477470829951364,0.606075806819351,0.544542461675404,0.645739269604989,0.64140964394072,0.709002608660629,188.695151756567,122.835676619088,0.838577291381669,0.875512995896033,8610543,7310000
1.5,"indep",5,5,0,-0.0389807707348558,0.0473214180586644,0.614112621620023,0.11445377542931,0.430960236939701,0.16650268023662,0.416956865970824,0.237931069634601,0.40939508397044,25.2153790570762,52.2099396291491,0.885682574916759,0.901220865704772,10827470,9010000
