"theta","design","n1","n2","rho","true_lnM","true_var_delta","true_var_safe","replicates","delta_mean","safe_mean","delta_bias","safe_bias","mean_var_delta","mean_var_safe","relbias_delta","relbias_safe","rmse_delta","rmse_safe","cover_delta","cover_safe","boot_keep","boot_total"
0.2,"indep",5,5,0,NA,0.562440253359146,0.0675632613182058,359,-0.763850305076953,-0.327257905824994,NA,NA,2380.07259897178,0.433787226235963,423068.965015735,542.046014020748,NA,NA,NA,NA,4151152,3590000
0.3,"indep",5,5,0,NA,0.44601450694992,0.0545558411808211,393,-0.774223875392021,-0.349564109165872,NA,NA,156.701093026297,0.44111515752684,35033.6314367667,708.557155346205,NA,NA,NA,NA,4510196,3930000
0.4,"indep",5,5,0,NA,0.541860213464941,0.0752282236387147,438,-0.704945043048332,-0.310712750409294,NA,NA,24831.2289617833,0.431716416932039,4582489.44737782,473.875596219534,NA,NA,NA,NA,5085095,4380000
0.5,"indep",5,5,0,NA,0.502507038350214,0.0980544426673113,495,-0.557814819528457,-0.246863254234192,NA,NA,399.61270937766,0.412914370257178,79423.803425646,321.107253302284,NA,NA,NA,NA,5727588,4950000
0.6,"indep",5,5,0,NA,0.501943466019625,0.104888639251798,513,-0.54698274552853,-0.244928650166587,NA,NA,1378.40200471524,0.409835210746823,274512.99887931,290.733652062129,NA,NA,NA,NA,5948605,5130000
0.7,"indep",5,5,0,-1.55054639460591,0.484888904268928,0.111889988765709,542,-0.483441840578225,-0.212586772545358,1.06710455402768,1.33795962206055,376.87002232268,0.402303651361844,77622.9627250165,259.552857051621,1.27385493857067,1.37906471927044,0.64760147601476,0.547970479704797,6322629,5420000
0.8,"indep",5,5,0,-1.06013176810005,0.488283267020764,0.113544586508726,609,-0.44882954757522,-0.196077467912834,0.611302220524825,0.864054300187212,388.126939104288,0.398053047554842,79388.0687745917,250.569815606536,0.927993476849791,0.927333799593175,0.77175697865353,0.80295566502463,7064517,6090000
0.9,"indep",5,5,0,-0.792372649921864,0.514517291043015,0.12364373445794,702,-0.404584581874949,-0.167024435066963,0.387788068046916,0.625348214854901,5343.60744845125,0.387219849114735,1038467.12718417,213.173854552618,0.814962542788657,0.717306066894938,0.794871794871795,0.857549857549858,8193551,7020000
1,"indep",5,5,0,-0.601986402162968,0.3946096159854,0.110933206356316,724,-0.350981707469512,-0.161481514265447,0.251004694693455,0.440504887897521,68.1825653428882,0.386397165271349,17178.4855160273,248.315151038046,0.676067993501761,0.552109173947699,0.861878453038674,0.904696132596685,8481414,7240000
1.5,"indep",5,5,0,-0.0389807707348558,0.330544028574471,0.159629092395369,919,0.00135608756935019,0.0594731051692355,0.040336858304206,0.0984538759040913,5.18863032081481,0.321184724850663,1469.72441559198,101.206885305815,0.576030739431899,0.411276743069614,0.906420021762786,0.923830250272035,11004017,9190000
2,"indep",5,5,0,0.29389333245106,0.217676406736553,0.167273782632834,979,0.314942112091071,0.300089653390805,0.021048779640011,0.00619632093974565,0.51610355553251,0.251973274752908,137.096690114484,50.6352464725387,0.466794507460371,0.408829200454009,0.925434116445352,0.938712972420838,11991519,9790000
3,"indep",5,5,0,0.729307511349758,0.122773258348119,0.133523215606919,1000,0.777531279255402,0.747762339949561,0.0482237679056441,0.0184548285998024,0.131725600595167,0.146989697084062,7.29176888151308,10.0854981779256,0.353519471713778,0.365691499887487,0.921,0.926,12670404,1e+07
4,"indep",5,5,0,1.02706186684777,0.0966152550476038,0.103310340094044,1000,1.09089339593769,1.07518759513472,0.0638315290899136,0.048125728286952,0.0946977283776896,0.102335872398077,-1.98470383271193,-0.943243140114736,0.31716415922754,0.324843216763255,0.922,0.924,12729789,1e+07
5,"indep",5,5,0,1.25479963118919,0.0960343189019015,0.100144596491494,1000,1.32384165581001,1.31592969918326,0.0690420246208203,0.0611300679940707,0.0822453931320444,0.0875988526620568,-14.3583314043622,-12.5276293169773,0.317340646225379,0.322151109121111,0.92,0.922,12730923,1e+07
0.2,"indep",10,10,0,NA,0.464593205451137,0.0489694533610335,381,-1.11622870757754,-0.690903615410623,NA,NA,875.955864733013,0.405643194633221,188442.547427578,728.359654420818,NA,NA,NA,NA,4532729,3810000
0.3,"indep",10,10,0,NA,0.486732445219742,0.0534895635315591,438,-1.0906595368638,-0.675884225828797,NA,NA,2817.40882984594,0.402130519654345,578741.385552999,651.792486429779,NA,NA,NA,NA,5188706,4380000
0.4,"indep",10,10,0,NA,0.47718878695524,0.0693314680754027,532,-1.03019826184521,-0.649040503677381,NA,NA,1238.0625922345,0.393339087965225,259349.221372972,467.331255033344,NA,NA,NA,NA,6402072,5320000
0.5,"indep",10,10,0,-1.84443972705697,0.478299692249573,0.079033482165071,565,-0.91467651946104,-0.597780003753122,0.929763207595928,1.24665972330385,190.70588359989,0.379092563417309,39771.6300031365,379.660712184651,1.1584095848709,1.2779100381497,0.684955752212389,0.578761061946903,6851720,5650000
