"theta","design","n1","n2","true_lnM","delta_mean","safe_mean","delta_bias","safe_bias","mean_var_delta","mean_var_safe","relbias_delta","relbias_safe","rmse_delta","rmse_safe","cover_delta","cover_safe","boot_keep","boot_total","mcse_bias_delta","mcse_bias_safe","mcse_varbar_delta","mcse_varbar_safe","mcse_cover_delta","mcse_cover_safe"
0.2,"indep",5,5,NA,-0.741277158954139,-1.15486887713943,NA,NA,5.78043457982592,0.434582945912121,288.439595881833,-70.7964476448889,NA,NA,NA,NA,367257309,361900000,NA,NA,0.121360553244654,0.00127847168863112,NA,NA
0.3,"indep",5,5,NA,-0.694530157037947,-1.08383311267623,NA,NA,5.41362474557356,0.428348603343152,256.672172669374,-71.7786078284768,NA,NA,NA,NA,399127013,393200000,NA,NA,0.114162510226119,0.00130933886310834,NA,NA
0.4,"indep",5,5,NA,-0.678248963288929,-1.05443998302127,NA,NA,5.22622903491892,0.42667647499868,255.860918128536,-70.9470287041805,NA,NA,NA,NA,435785100,429200000,NA,NA,0.107354746459011,0.00125928152808273,NA,NA
0.5,"indep",5,5,NA,-0.599645874322913,-0.93215050793306,NA,NA,4.72862790021664,0.417850456327438,240.999606299844,-69.8671910527495,NA,NA,NA,NA,481579789,474200000,NA,NA,0.0994997922581491,0.00127181729278036,NA,NA
0.6,"indep",5,5,NA,-0.54850657092784,-0.852493577197034,NA,NA,4.30814651479271,0.410770246313261,213.870455501079,-70.073291640863,NA,NA,NA,NA,537625527,529200000,NA,NA,0.0898571094289076,0.00126167382283686,NA,NA
0.7,"indep",5,5,-1.55054639460591,-0.508890464914457,-0.793292046463513,1.04165592969145,0.757254348142396,4.02647637631033,0.404842053236792,193.386991579202,-70.50140595318,1.26429544384457,1.39484931035129,0.658767772511848,0.540986484114446,578658187,569700000,0.00949382462528062,0.0155209764888342,0.0850648607771797,0.00125477841859646,0.00628156825751742,0.006602111195254
0.8,"indep",5,5,-1.06013176810005,-0.456811349668128,-0.71008414804216,0.603320418431918,0.350047620057885,3.64399362077375,0.399243324575852,196.54995374971,-67.5093861957119,0.91635702581106,1.16238307758361,0.765377298668358,0.683893468611287,640936040,630800000,0.00868484070866234,0.0139570627597325,0.0764186842164742,0.0012307062613751,0.00533552257065894,0.00585416717695877
0.9,"indep",5,5,-0.792372649921864,-0.374288004177603,-0.584243108608368,0.418084645744261,0.208129541313497,3.10105145209255,0.387552300100159,179.875984103426,-65.0226437523678,0.790578121962807,1.07292300737462,0.808162663916311,0.737439222042139,689761400,678700000,0.00814526052815319,0.0127771132620284,0.0679015511832544,0.00124713292334343,0.00477944022385432,0.00534120340228601
1,"indep",5,5,-0.601986402162968,-0.313711378989529,-0.499954516064517,0.288275023173439,0.102031886098451,2.82323887801451,0.376826122394302,162.211442974281,-65.0018558213887,0.731819105172991,1.0425768119302,0.830278993435449,0.75437636761488,743189956,731200000,0.00786683654215819,0.0121347239568376,0.0628214136144655,0.00126127661215591,0.00438997182665782,0.00503397461086203
1.2,"indep",5,5,-0.326963233703332,-0.197706139208071,-0.331831345066853,0.129257094495261,-0.00486811136352133,2.18635681063196,0.35747589821326,138.486684456637,-61.0067115653476,0.65570283516116,0.957430582109876,0.869329388560158,0.792159763313609,824871243,811200000,0.00713778317529367,0.0106307640948878,0.0519833783231406,0.00125612915099834,0.00374211535901554,0.00450512901736274
