"theta","design","n1","n2","true_lnM","delta_mean","safe_mean","delta_bias","safe_bias","mean_var_delta","mean_var_safe","relbias_delta","relbias_safe","rmse_delta","rmse_safe","cover_delta","cover_safe","boot_keep","boot_tried","mcse_bias_delta","mcse_bias_safe","mcse_varbar_delta","mcse_varbar_safe","mcse_cover_delta","mcse_cover_safe","delta_fail_prop","safe_fail_prop","boot_accept_prop"
0.2,"indep",5,5,NA,-0.74803353303977,-0.904549311901299,NA,NA,5.81669710991836,0.484480893526967,281.831461792677,-68.1967198411298,NA,NA,NA,NA,1e+10,26663710000,NA,NA,0.0383140117313175,0.000195057128641597,NA,NA,0.63247,0,0.375041582735486
0.3,"indep",5,5,NA,-0.705556808780377,-0.888065829303605,NA,NA,5.44669683854734,0.480415624542327,264.704362227423,-67.8319394035656,NA,NA,NA,NA,1e+10,26104040000,NA,NA,0.036044007909983,0.000209375569332656,NA,NA,0.60397,0,0.383082465396161
0.4,"indep",5,5,NA,-0.663487364438549,-0.870880780100065,NA,NA,5.13363422598843,0.475095970722827,248.219048062231,-67.7738110312191,NA,NA,NA,NA,1e+10,25430475000,NA,NA,0.0337693178191959,0.00022636570466713,NA,NA,0.5692,0,0.393228990020831
0.5,"indep",5,5,NA,-0.606421842262532,-0.839107281673671,NA,NA,4.7119501916622,0.468141485390486,235.779372901412,-66.6396612868055,NA,NA,NA,NA,1e+10,24592015000,NA,NA,0.0312191455882115,0.000246440511593695,NA,NA,0.52567,0,0.40663605645979
0.6,"indep",5,5,NA,-0.55251925122211,-0.803628343390343,NA,NA,4.32269341170856,0.459818877034527,218.158603930679,-66.1564404308624,NA,NA,NA,NA,1e+10,23655190000,NA,NA,0.0287182502839773,0.000267198012481046,NA,NA,0.47701,0,0.42274021049926
0.7,"indep",5,5,-1.55054639460591,-0.503460278331885,-0.765389184851368,1.04708611627402,0.785157209754541,3.98994801844247,0.450483227000223,202.330961906438,-65.8654632310575,1.26282849575742,1.17339971633778,0.657193636632922,0.543465003223502,1e+10,22667350000,0.00294677911297594,0.00275753994404179,0.0265086810431116,0.000287019479241412,0.00198129533168043,0.00207922234015559,0.42609,0,0.441163170816174
0.8,"indep",5,5,-1.06013176810005,-0.440257559812176,-0.706082156080523,0.61987420828787,0.354049612019522,3.56699159603059,0.438993815999397,184.250184626966,-65.016998249509,0.933764191515417,0.957455012415469,0.754774333184798,0.673149150168693,1e+10,21561880000,0.00278588312105137,0.00281314216988264,0.0241136586114998,0.000309144072742802,0.00171627650850191,0.00187122579081511,0.37164,0,0.463781451339123
0.9,"indep",5,5,-0.792372649921864,-0.382288324654216,-0.642996496685757,0.410084325267648,0.149376153236108,3.21073940859693,0.427405871650184,174.682183914275,-63.4349714186365,0.79867220735892,0.907243506717728,0.805464464803023,0.728159051806538,1e+10,20523585000,0.00262816846995129,0.00282981545896794,0.0220458628060531,0.000327840303734633,0.00151795406129147,0.00170610803509754,0.31997,0,0.487244309412805
1,"indep",5,5,-0.601986402162968,-0.321156878898626,-0.570568958667397,0.280829523264342,0.0314174434955707,2.8628055808424,0.41411742165572,157.656604538412,-62.7288386406534,0.734022794577133,0.906619967618688,0.834991423670669,0.756048027444254,1e+10,19508945000,0.00251221524311737,0.00286527646089921,0.0201409123074811,0.000346877311386744,0.00137500723125296,0.00159088056198325,0.27125,0,0.512585380706132
1.2,"indep",5,5,-0.326963233703332,-0.197806841895446,-0.405529461981515,0.129156391807886,-0.0785662282781832,2.22927937507114,0.385349005725413,134.382651574112,-59.4850592737,0.663984670421572,0.898102749716227,0.870222276651767,0.790533341497765,1e+10,17608930000,0.00227925893599288,0.00282917638379264,0.0167311285710286,0.000375682114140282,0.00117604457336342,0.00142405301133656,0.18345,0,0.567893676674278
