"theta","design","n1","n2","true_lnM","delta_mean","safe_mean","delta_bias","safe_bias","mean_var_delta","mean_var_safe","Var_MC_SAFEpt","relbias_delta","relbias_safe","rmse_delta","rmse_safe","cover_delta","cover_safe","delta_fail_prop","safe_fail_prop","delta_cap_rate","delta_cap_n","maxVar","boot_keep","boot_tried","boot_accept_prop","SAFE_ok_rate","mcse_bias_delta","mcse_bias_safe","mcse_varbar_delta","mcse_varbar_safe","mcse_cover_delta","mcse_cover_safe"
0.2,"indep",5,5,NA,-0.751327315085438,-0.890302787653001,NA,NA,5.84506597778457,0.495680973727631,1.52965237935503,282.117274269144,-67.5951882651514,NA,NA,NA,NA,0.63064,0,0.170673597574182,6304,20,10148100646,21054660670,0.481988325770534,1,NA,NA,0.038319823647936,0.00018502967757147,NA,NA
0.3,"indep",5,5,NA,-0.69944848955134,-0.872382204141179,NA,NA,5.40821906122541,0.491355474945562,1.45859954796405,270.781621917704,-66.3132025763063,NA,NA,NA,NA,0.60319,0,0.153675562611829,6098,20,10150937023,20669455600,0.491108097834952,1,NA,NA,0.0358642244722038,0.00020178769828345,NA,NA
0.4,"indep",5,5,NA,-0.664928602192463,-0.864307071543672,NA,NA,5.12769660406794,0.486955378637465,1.46851293858854,249.17612704158,-66.840239139772,NA,NA,NA,NA,0.57032,0,0.142710854589462,6132,20,10153476128,20209187776,0.502418812697562,1,NA,NA,0.0338073462871289,0.000215354400368653,NA,NA
0.5,"indep",5,5,NA,-0.610043982501604,-0.841904330914404,NA,NA,4.75197658550634,0.480032084310539,1.41620930751229,235.541968288124,-66.1044393816502,NA,NA,NA,NA,0.52702,0,0.13097805404034,6195,20,10157923056,19598477600,0.51830163869463,1,NA,NA,0.0313779106205589,0.000237725269862749,NA,NA
0.6,"indep",5,5,NA,-0.555139877993186,-0.814505480567257,NA,NA,4.33632883614643,0.471622841474305,1.36919346865788,216.70680115039,-65.5546968145704,NA,NA,NA,NA,0.47345,0,0.117025923464058,6162,20,10163050407,18851721938,0.539104620809944,1,NA,NA,0.0286831694163184,0.000259325098056678,NA,NA
0.7,"indep",5,5,-1.55054639460591,-0.497583730404037,-0.775531545452315,1.05296266420187,0.775014849153594,3.94134041636085,0.462591113528053,1.30100389220482,202.94608955254,-64.4435257803806,1.26636029911841,1.16594299847821,0.65571659735876,0.580289875245768,0.42527,0,0.104170654046248,5987,20,10168299343,18147096566,0.560326513170768,1,0.00293458882596299,0.00275460096405681,0.0263427022587629,0.000279844616652321,0.00198191122757406,0.00205856832448851
0.8,"indep",5,5,-1.06013176810005,-0.440068504381527,-0.729405038448287,0.620063263718518,0.330726729651759,3.57310884634476,0.451777493989087,1.23757886837067,188.717667832268,-63.4950542922671,0.931905038085764,0.944921685971244,0.755109175857356,0.707402345612307,0.37074,0,0.0915043066459015,5758,20,10173770198,17345714433,0.586529326151279,1,0.00277330067730566,0.00279911532088117,0.0241147015233755,0.000300851484497383,0.00171425753576266,0.00181365052076272
0.9,"indep",5,5,-0.792372649921864,-0.379795893645001,-0.67148206583023,0.412576756276864,0.120890584091635,3.18344242969684,0.440325012912056,1.15450176972187,175.741667374296,-61.8601699486235,0.797682852967601,0.8955215715549,0.806306968538665,0.759026756836225,0.3198,0,0.0788003528374008,5360,20,10179983045,16576728133,0.614112927673241,1,0.00261766668299043,0.00280597973143142,0.02192406236909,0.000319862965513503,0.00151526604342859,0.0016398141906546
1,"indep",5,5,-0.601986402162968,-0.318087687380065,-0.60611485893595,0.283898714782903,-0.00412845677298201,2.85018812072883,0.427159648048278,1.09618580553642,160.009581070437,-61.0321857945197,0.733038108782566,0.895369915127785,0.833664887705964,0.780776248816694,0.27111,0,0.0685014199673476,4993,20,10185436775,15824454864,0.643651668416803,1,0.00250328066128213,0.00283139233866164,0.0200650786902779,0.000339912778426454,0.00137929361889774,0.00153241397254425
1.2,"indep",5,5,-0.326963233703332,-0.200582966032888,-0.461854698193326,0.126380267670444,-0.134891464489994,2.24390879645624,0.399377060603527,0.967656058729674,131.891153495387,-58.7273745665558,0.667596330016228,0.904794790949768,0.871444990585186,0.814026850561221,0.18214,0,0.0512068080111511,4188,20,10198182251,14431040900,0.706683760490208,1,0.00229219922065252,0.00282925062728047,0.0168109894447948,0.00036832572368573,0.00117037492087892,0.00136052023048699
