"theta","design","n1","n2","rho","true_absd","true_vd","true_fn_mean","true_fn_var","d_mean","absd_mean","fn_mean_est","absd_bias","fn_bias","absd_vs_fn_mean","fn_vs_fn_mean","mean_var_absd","mean_var_fn","Var_MC_absd","Var_MC_fn","relbias_var_absd","relbias_var_fn","relbias_var_absd_vsFN","relbias_var_fn_vsFN","rmse_absd","rmse_fn","cover_absd","cover_fn","fail_prop","mcse_bias_absd","mcse_bias_fn","mcse_varbar_absd","mcse_varbar_fn","mcse_cover_absd","mcse_cover_fn"
0.2,"indep",5,5,0,0.2,0.4025,0.531147597668703,0.160382229490765,-0.221525153753264,0.587196633508936,0.786620430098489,0.387196633508936,0.586620430098489,0.0560490358402329,0.255472832429786,0.436566560389698,0.263239671830386,0.240267482505765,0.139621549961649,81.7002266959795,88.5379956766644,172.20382318905,64.1326926718798,0.624648951677337,0.695516845773765,0.96617,0.96116,0,0.00155005639415398,0.00118161563108165,0.000213794765841965,0.000415583450818028,0.000571712612244999,0.000610994716834769
0.3,"indep",5,5,0,0.3,0.405625,0.563518044275269,0.178072413776176,-0.330546312937481,0.619338439479883,0.811448737550756,0.319338439479883,0.511448737550755,0.0558203952046141,0.247930693275486,0.440764443719078,0.271931205546811,0.268653683424707,0.162616910173905,64.0641729159865,67.2219729522616,147.51977825891,52.7082155962737,0.608792276410699,0.651302614110418,0.96928,0.96637,0,0.00163906584194994,0.00127521335537982,0.000238876599588816,0.0004428154421481,0.000545676475578707,0.000570079144505393
0.4,"indep",5,5,0,0.4,0.41,0.607462686603984,0.20098908438387,-0.443599556470486,0.668125463531495,0.848310356654488,0.268125463531495,0.448310356654488,0.0606627769275108,0.240847670050504,0.446558782795543,0.28488865283549,0.298551875228264,0.186982063302109,49.5749381758587,52.3614874091915,122.180614516686,41.7433457686585,0.608637949772681,0.622866253191768,0.97124,0.96918,0,0.00172786537446719,0.00136741384848227,0.000259234397638109,0.000468845411565527,0.000528515490785275,0.000546535704231663
0.5,"indep",5,5,0,0.5,0.415625,0.661779225529033,0.227673256658193,-0.54937204140831,0.72318531312323,0.890983209422311,0.223185313123231,0.390983209422311,0.0614060875941971,0.229203983893277,0.453733218617308,0.299699407060542,0.336737868138456,0.219916429125498,34.743746263413,36.2787711005963,99.2913991204949,31.6357535617294,0.62172838503135,0.610558842382432,0.97273,0.97136,0,0.00183504187455888,0.00148295795329975,0.000294461399898894,0.000504558724827141,0.000515037349131109,0.00052744431364837
0.6,"indep",5,5,0,0.6,0.4225,0.725130142485467,0.256686276459006,-0.665828480711336,0.794911570233309,0.948095219747013,0.194911570233309,0.348095219747013,0.0697814277478421,0.222965077261546,0.463726802711519,0.319239361057324,0.387748316376682,0.265234391675285,19.5947946453562,20.3612242895541,80.6589776082471,24.3694697906095,0.652483684933452,0.621612436605066,0.97267,0.97159,0,0.0019691325917182,0.00162860182879452,0.000345673070830274,0.000553267197495072,0.000515587733562388,0.000525384353592682
0.7,"indep",5,5,0,0.7,0.430625,0.796145847802982,0.286776789026071,-0.776810080805218,0.870710371171646,1.00794602805878,0.170710371171646,0.30794602805878,0.074564523368664,0.211800180255798,0.473964945524696,0.339636682997703,0.425306830997583,0.301815213594797,11.4407084440622,12.5313329810085,65.2731196043928,18.4324171252319,0.674125069074599,0.629795960323531,0.97326,0.97245,0,0.00206229685301991,0.00173728297520812,0.00037000362346919,0.000579510190701748,0.000510146767117072,0.000517600207689293
0.8,"indep",5,5,0,0.8,0.44,0.873510137338598,0.316980039966704,-0.890978739435485,0.957626187806906,1.07949406188279,0.157626187806906,0.279494061882785,0.0841160504683077,0.205983924544188,0.487242278763,0.363649623926641,0.47883333296774,0.354165227056433,1.75613208527965,2.67795823690433,53.7138675401078,14.7231932852427,0.709700330926337,0.657478985239759,0.97246,0.9718,0,0.00218822606914308,0.00188192780694806,0.000426543009100871,0.00062879245179193,0.000517508921662226,0.000523495558720416
0.9,"indep",5,5,0,0.9,0.450625,0.956021135885896,0.346648587739442,-0.995213599075848,1.04576591078145,1.15283249122818,0.145765910781449,0.252832491228181,0.0897447748955535,0.196811355342285,0.500952219693189,0.387959601239811,0.521614391082374,0.399209372806758,-3.96119657402675,-2.81801288578286,44.5129844491762,11.9172600037881,0.736788216303988,0.680536295383041,0.97362,0.97307,0,0.00228388789366373,0.00199802245434519,0.000468521522267077,0.000664486323208406,0.000506794786871372,0.000511905998206702
1,"indep",5,5,0,1,0.4625,1.04262674006646,0.375429480898383,-1.11025780422908,1.14398995756697,1.23599457063776,0.143989957566969,0.235994570637764,0.101363217500507,0.193367830571302,0.517079445900478,0.415184974270513,0.564563757031139,0.447487502266602,-8.41079692758995,-7.21864361182623,37.7301123670772,10.5893371178515,0.765043279346801,0.709349324918324,0.97407,0.97368,0,0.00237605504361986,0.0021153900403155,0.000513508489456569,0.000700726866272239,0.000502569747398309,0.000506233716775167
1.2,"indep",5,5,0,1.2,0.49,1.22472492495735,0.430048858188208,-1.32676905998946,1.34240349721104,1.40830370421724,0.14240349721104,0.208303704217242,0.117678572253688,0.183578779259889,0.552729998308833,0.471379220009926,0.6416392400093,0.541716845096672,-13.856577989086,-12.9842048892155,28.527256330241,9.61062005741455,0.813579485750979,0.764919512837038,0.97425,0.97394,0,0.00253305988876951,0.00232748113869194,0.000619883493560321,0.000780212723287906,0.00050086862049843,0.000503794366780733
1.4,"indep",5,5,0,1.4,0.5225,1.41451607042961,0.481644286496367,-1.55344696251351,1.55955639363909,1.60398598127886,0.15955639363909,0.20398598127886,0.145040323209478,0.189469910849247,0.596638489306803,0.534256624516449,0.714006824036529,0.635833023890344,-16.4379850133927,-15.9753261559772,23.8753383014134,10.9234843005823,0.859917395288292,0.823065578261174,0.95794,0.93762,0,0.0026720906123044,0.00252157296918083,0.000730320452725593,0.000861381801027685,0.000634751576603005,0.00076477928580735
1.6,"indep",5,5,0,1.6,0.56,1.60870897272589,0.532055441071216,-1.76938587063792,1.77231119949043,1.80238720010679,0.172311199490431,0.202387200106787,0.163602226764542,0.193678227380898,0.645801239182722,0.598221204152669,0.791740756491901,0.731807560920416,-18.4327402767312,-18.2543012536972,21.3785612045421,12.4358775371676,0.906324438903736,0.879068155271186,0.95198,0.93378,0,0.00281378882734988,0.00270519419066435,0.000857477991515351,0.000961024813598528,0.000676121879545396,0.000786351776242668
1.8,"indep",5,5,0,1.8,0.6025,1.80537638560757,0.58311610629056,-1.99986045314865,2.00083540960521,2.01982892130618,0.200835409605211,0.219828921306182,0.195459023997645,0.214452535698616,0.705281648718013,0.670366949377976,0.881172854886702,0.839720604689384,-19.9610332062833,-20.1678575428136,20.9504661438007,14.9628593938958,0.959947344862958,0.942357130882971,0.95235,0.93733,0,0.00296845558310496,0.00289779330644783,0.00112001192467693,0.00118957496826395,0.000673642913567715,0.000766436371135921
2,"indep",5,5,0,2,0.65,2.00343022642427,0.636267327849603,-2.21471399118879,2.21498987154112,2.22723482147563,0.214989871541116,0.227234821475634,0.211559645116847,0.223804595051365,0.76640308137995,0.740524910529288,0.956278733836817,0.927761800554273,-19.855680748545,-20.1815692253253,20.4529995230414,16.3858142821895,1.00124413402264,0.989640433201539,0.95272,0.94139,0,0.00309237567872472,0.00304591825326005,0.00116465987289342,0.00122097254843713,0.000671152751614712,0.000742797872237125
2.5,"indep",5,5,0,2.5,0.790625,2.50130166587712,0.784114976280366,-2.76970183088175,2.76971096645878,2.77382052298347,0.269710966458778,0.273820522983469,0.268409300581662,0.272518857106353,0.954503543360491,0.942400826559571,1.20076986374446,1.19009101775466,-20.5090357294623,-20.8127099104072,21.7300488110052,20.1865612910586,1.12849539718776,1.12474743638358,0.95233,0.9474,0,0.00346521263957128,0.00344976958325431,0.00160827156526304,0.00163341667992412,0.000673777196853678,0.000705926625082239
3,"indep",5,5,0,3,0.9625,3.00061028246529,0.958837932763567,-3.32182201058399,3.32182201058399,3.32335574743408,0.321822010583991,0.323355747434078,0.3212117281187,0.322745464968787,1.1828117638658,1.17667533280459,1.49050165686908,1.4864460933718,-20.6433781261006,-20.8396901810638,23.3588830238175,22.718896760078,1.26255936824722,1.26134458745797,0.95353,0.95128,0,0.00386070156431325,0.00385544562064075,0.00214686169905949,0.00215820448394285,0.000665661618992713,0.00068078162137355
4,"indep",5,5,0,4,1.4,4.00022108861848,1.39823124217195,-4.42655866123672,4.42655866123672,4.42692178394923,0.426558661236719,0.426921783949226,0.426337572618235,0.426700695330742,1.76117118707498,1.75882919521385,2.1843392552224,2.18346633851994,-19.3728179876682,-19.4478447326986,25.9570759082204,25.789579160151,1.53826841068321,1.53808540512773,0.9558,0.95522,0,0.00467369153370481,0.00467275757826141,0.00334738295871507,0.00335026394014387,0.000649971999396897,0.000654024094357387
5,"indep",5,5,0,5,1.9625,5.00012417848107,1.96125819976898,-5.54318321459034,5.54318321459034,5.54334304198072,0.543183214590338,0.543343041980722,0.543059036109266,0.54321886349965,2.51753847945675,2.51607696759101,3.15376705846242,3.15345663666404,-20.1736072199275,-20.212095567209,28.3634393346727,28.288920239435,1.85709006927629,1.85705324731589,0.95625,0.95608,0,0.00561584103982869,0.00561556465252074,0.0050537210805529,0.00505443220245596,0.000646807061649762,0.000648004888870446
0.2,"indep",10,10,0,0.2,0.201111111111111,0.392820144959112,0.086803444825413,-0.209573047722879,0.409912390703076,0.54707631657393,0.209912390703076,0.34707631657393,0.0170922457439633,0.154256171614818,0.207532548623117,0.1240928018819,0.103144613826455,0.0553195542128867,101.205415313591,124.319959998869,139.083309470639,42.9583838884354,0.383675376002939,0.419262412510199,0.96983,0.96706,0,0.00101560136779376,0.000743771162474633,3.64813089470944e-05,0.000153518373917756,0.000540923017628202,0.000564401952512569
0.3,"indep",10,10,0,0.3,0.2025,0.436007682441963,0.102397300851588,-0.314697081609995,0.454782295948283,0.58052111669401,0.154782295948283,0.28052111669401,0.0187746135063194,0.144513434252047,0.209114856027812,0.130856898323404,0.121309093384163,0.0693887016649857,72.3818472252408,88.5853102644746,104.219109574868,27.7933082563031,0.381137034978565,0.384811778262079,0.97295,0.9716,0,0.00110140407382651,0.000832998809512869,4.2572118793652e-05,0.000164139167910657,0.000513013620676878,0.000525294584019291
0.4,"indep",10,10,0,0.4,0.204444444444444,0.493404101007201,0.12099683755372,-0.417724161841821,0.512090026854402,0.623507564401143,0.112090026854402,0.223507564401143,0.0186859258472009,0.130103463393942,0.211217657592224,0.139287221947151,0.141600893725255,0.0870052961526501,49.1640709570979,60.0905095510196,74.5646100035032,15.1164152412748,0.392636793788533,0.370081149809361,0.97317,0.97243,0,0.00118996173772628,0.00093276629523504,4.99050847586441e-05,0.000173843340048503,0.000510980930172546,0.000517782725667823
0.5,"indep",10,10,0,0.5,0.206944444444444,0.562540924376124,0.140492152846501,-0.526104902566015,0.586767393819577,0.682119172938458,0.0867673938195769,0.182119172938458,0.024226469443453,0.119578248562334,0.214201516487466,0.150077245504019,0.166960288701846,0.110093399375972,28.2948886546204,36.3181138512232,52.4651107891408,6.82251105368912,0.417716650050246,0.378496620320138,0.97188,0.97135,0,0.00129213114157134,0.00104925401774771,5.89413000169612e-05,0.000183967580753686,0.000522774000883747,0.000527533671911092
0.6,"indep",10,10,0,0.6,0.21,0.640908102923431,0.159236803607089,-0.62609081439091,0.665772560608224,0.745154548717319,0.0657725606082245,0.145154548717319,0.0248644576847933,0.104246445793888,0.21748282815116,0.161378616724495,0.186130572288653,0.130232025714575,16.8442268655823,23.9162301584579,36.5782427332513,1.34504905203374,0.436411205987992,0.388973734855768,0.97352,0.9733,0,0.00136429678695163,0.00114119247156023,6.72110616838576e-05,0.00018943107320612,0.000507728368323063,0.00050977553884038
